Entity,Code,Year,Other renewables - %,Biofuels - %,Solar - %,Wind - %,Hydro - %,Nuclear - %,Gas - %,Coal - %,Oil - %,Other renewables - TWh,Biofuels - TWh,Solar - TWh,Wind - TWh,Hydro - TWh,Nuclear - TWh,Gas - TWh,Coal - TWh,Oil - TWh
World,OWID_WRL,1965,0.12902979350717197,0.020824667646101195,0,0,6.295664913787536,0.16712882115855884,14.537871917214,37.30900185842566,41.54047802826097,55.949085,9.029861,0,0,2729.8865,72.469345,6303.8203,16177.694,18012.52
World,OWID_WRL,1966,0.13499447577642534,0.020138099665909567,0,0,6.3610709051842225,0.21364014675109633,15.019240382203536,35.77127386257255,42.47964212784626,61.737606,9.209844,0,0,2909.136,97.70497,6868.814,16359.431,19427.398
World,OWID_WRL,1967,0.1315154060358444,0.01979208215921975,0,0,6.272679474249758,0.2454156843930466,15.55332256249568,33.94857590096698,43.82869888969947,62.35338,9.383716,0,0,2973.9692,116.35517,7374.058,16095.517,20779.828
World,OWID_WRL,1968,0.13738366507246919,0.019013468689615516,0,0,6.23374854471727,0.29428683357295204,16.009436362738448,32.50535944163713,44.80077168357212,69.03191,9.5538,0,0,3132.3052,147.87189,8044.3477,16333.143,22511.285
World,OWID_WRL,1969,0.1351156763633784,0.018107573317031143,0,0,6.176736420496154,0.32645713132892534,16.449235533898683,31.371748635874923,45.5225990287209,72.558716,9.723981,0,0,3316.9805,175.31134,8833.434,16847,24446.174
World,OWID_WRL,1970,0.14053547949229314,0.023618214469653738,0,0,6.076078100807122,0.39150819755253813,16.819221713297576,29.890360660518855,46.65867763386195,80.33795,13.501494,0,0,3473.4265,223.80801,9614.809,17087.004,26672.713
World,OWID_WRL,1971,0.14693994022324625,0.022817062441896713,0,0,6.105360922380687,0.5237121149023956,17.31734483291264,28.578032771599904,47.30579235553924,87.339066,13.562146,0,0,3628.942,311.28723,10293.19,16986.387,28117.908
World,OWID_WRL,1972,0.14896660229667125,0.023641333797382653,0,0,6.058430003426195,0.6886753480965074,17.323313572143128,27.381553885536665,48.37541925470345,93.40202,14.82311,0,0,3798.634,431.79926,10861.713,17168.227,30331.375
World,OWID_WRL,1973,0.15113359517179736,0.021484460750830863,0,0,5.808862057156612,0.8722707434602724,17.153475827895527,26.660145468745437,49.33262784681952,100.24631,14.250557,0,0,3852.995,578.5737,11377.832,17683.568,32722.135
World,OWID_WRL,1974,0.16025151278154193,0.021494304305726852,0,0,6.345911149773364,1.1343125972100727,17.48346863013317,26.53505619041232,48.31950561538382,106.87296,14.334716,0,0,4232.1367,756.48175,11659.859,17696.432,32224.648
World,OWID_WRL,1975,0.16104564399639495,0.02038384632163478,0,0,6.379944062880822,1.5627709527229874,17.36290623287473,26.872067532175862,47.64088172902757,108.1472,13.688392,0,0,4284.3325,1049.4497,11659.736,18045.436,31992.346
World,OWID_WRL,1976,0.1704347195613041,0.019438164024182004,0,0,6.0321506165070105,1.7354468410967607,17.46334664293712,26.43331336998846,48.14586964588516,120.57106,13.751189,0,0,4267.3394,1227.7115,12354.139,18699.785,34059.953
World,OWID_WRL,1977,0.17362060804000595,0.024990646291537764,0,0,6.017414444487289,2.084726958096528,17.4073198645701,26.285130238052886,48.006797240461644,127.266624,18.318535,0,0,4410.859,1528.1375,12759.838,19267.412,35189.734
World,OWID_WRL,1978,0.17726326011820281,0.030429103231365714,0,0.00001164581406770917,6.266929597557924,2.331140809868935,17.452298625255356,25.55692819929043,48.18499875886373,135.02682,23.178774,0,0.008870971,4773.711,1775.7009,13293.947,19467.49,36703.98
World,OWID_WRL,1979,0.1836215921196504,0.035606329140217434,0,0.00002254293394201596,6.3690752583098975,2.346577540029863,17.938384490270636,25.882880708989067,47.24383153820673,144.51552,28.023214,0,0.017741943,5012.647,1846.8246,14118.029,20370.578,37182.266
World,OWID_WRL,1980,0.1971566282347626,0.04203173793800355,0,0.000039803898603063363,6.564430396805828,2.589758375462362,18.25175451641051,26.76527456687481,45.58955397437513,153.78857,32.78612,0,0.031048333,5120.4688,2020.0956,14236.961,20877.783,35561.332
World,OWID_WRL,1981,0.2123441441165961,0.03830507052847415,0,0.00003997955034899584,6.7352463488035745,3.071885580373008,18.536922076339806,27.24421328008672,44.161043520201474,164.9076,29.747923,0,0.031048333,5230.6284,2385.6428,14395.873,21158.002,34295.703
World,OWID_WRL,1982,0.24746038028367412,0.048598763195383504,0,0.00007078861942207693,6.891033135446714,3.349350494077382,18.724210822836802,27.68624151122118,43.053034104319444,191.2329,37.556244,0,0.054704163,5325.2656,2588.3174,14469.731,21395.426,33270.605
World,OWID_WRL,1983,0.26942324455857364,0.06236429388159306,0.000011286014276416554,0.00012337488502077657,7.064173011659002,3.732067228410805,18.706812383215425,28.05415125681655,42.11087392055877,211.77058,49.01924,0.008870971,0.09697445,5552.5425,2933.459,14703.826,22050.97,33099.758
World,OWID_WRL,1984,0.28773890883273656,0.07038384956009391,0.000022722310935920078,0.00016113635316635302,6.9896546697183854,4.334404473155039,19.36275412140474,28.01457858017693,40.940301538487965,236.32065,57.806423,0.018661888,0.13234167,5740.62,3559.8567,15902.676,23008.44,33624.367
World,OWID_WRL,1985,0.2883484776339542,0.08111754389205651,0.00004118980062791941,0.00022517272114103682,6.93974674814399,5.009618219056604,19.282990291046943,28.45423018711393,39.94368217059077,243.1773,68.41009,0.03473722,0.18989833,5852.602,4224.8374,16262.217,23996.738,33686.312
World,OWID_WRL,1986,0.3058851786891376,0.09767396438727664,0.00005208126083727187,0.0004761991153445394,6.8809398052444966,5.249019398039784,19.048190810298532,28.145595485758427,40.27216707720616,263.69818,84.20299,0.04489833,0.4105228,5931.936,4525.0864,16421.107,24263.818,34717.92
World,OWID_WRL,1987,0.3162142306104714,0.09552632625761662,0.00003509946980093718,0.0006467603006861005,6.730524940437821,5.510506689243849,19.346928717166,28.243070379154673,39.75654685735908,282.46243,85.33012,0.031353053,0.57772696,6012.128,4922.331,17281.893,25228.486,35513.047
World,OWID_WRL,1988,0.3139473136650584,0.09666139598030546,0.000032539982922867307,0.0010582197945165053,6.696770610850179,5.791951986524442,19.523100634875572,28.04326814274908,39.533209155577936,290.88327,89.560196,0.030149443,0.980478,6204.7944,5366.448,18088.842,25983.078,36628.914
World,OWID_WRL,1989,0.34132409126425134,0.10131452134361982,0.0008209742544311981,0.008295978202663815,6.535862375409895,5.843441102023095,19.999054553554004,27.773093127043726,39.39679327690431,322.37277,95.68924,0.77539134,7.835361,6172.972,5518.996,18888.648,26231.049,37209.367
World,OWID_WRL,1990,0.37805704596540113,0.11153841318245095,0.0012018937419447475,0.011242035583795584,6.68065171869627,5.941425418284643,20.389553389057156,27.124674133162053,39.361655952326295,361.2137,106.56911,1.1483465,10.741176,6383.0127,5676.7207,19481.15,25916.205,37608
World,OWID_WRL,1991,0.39128411821016107,0.11488745740172354,0.0015515022571655464,0.01254564831452648,6.7809263337278685,6.176285288856051,20.738312634214072,26.651132074448622,39.13307494256982,376.84134,110.64682,1.4942344,12.082573,6530.634,5948.311,19972.836,25667.406,37688.625
World,OWID_WRL,1992,0.41786746453949036,0.11221116688869164,0.001424466017015156,0.014446179740362232,6.74053873607976,6.186740198138442,20.7104877964262,26.391772930456412,39.42451106171363,404.81308,108.705635,1.379965,13.994874,6529.961,5993.4634,20063.482,25567.281,38192.87
World,OWID_WRL,1993,0.4283144937536057,0.11708661935587733,0.001685630214465924,0.017272332205275197,7.089560264328025,6.348797048027137,20.752278338378762,26.307044744937784,38.93796052879907,418.26727,114.34005,1.6460894,16.867165,6923.2563,6199.8696,20265.48,25689.945,38024.57
World,OWID_WRL,1994,0.43952730769550585,0.12548528528138253,0.0017849518782456608,0.021323545872716603,7.044047533251611,6.386662687147698,20.61692013240798,26.078795791924545,39.285452764540324,434.6814,124.101776,1.7652723,21.088448,6966.385,6316.248,20389.613,25791.27,38852.32
World,OWID_WRL,1995,0.44953647781564765,0.12969895075349255,0.0018694022597436195,0.02420463781923199,7.2665147701844255,6.521256602116315,20.883666095361555,25.703951926881523,39.01930113680807,454.28992,131.0704,1.8891695,24.46058,7343.3516,6590.213,21104.492,25975.748,39431.895
World,OWID_WRL,1996,0.4485535794758776,0.12098069579637592,0.00198865147931263,0.02620971351784544,7.157970475664854,6.568007715768972,21.31297296212198,25.576811366122104,38.78650484005268,466.36444,125.784515,2.0676155,27.250431,7442.1943,6828.8057,22159.254,26592.398,40326.613
World,OWID_WRL,1997,0.4760629100055103,0.12381125933799743,0.002110697860904447,0.03386611595751595,7.211640830239466,6.457466162497706,20.976672266171285,25.277515703910225,39.44085405401939,499.9769,130.03065,2.2167242,35.567307,7573.902,6781.843,22030.39,26547.277,41422.08
World,OWID_WRL,1998,0.49283001107415136,0.12627257000616068,0.0022726471714096777,0.04459136368121537,7.224902573480552,6.530754450243791,21.237925332049436,24.97366858951121,39.36678246278207,520.5851,133.38396,2.4006376,47.10265,7631.793,6898.552,22433.998,26380.13,41583.832
World,OWID_WRL,1999,0.5084161726787135,0.12589508698269566,0.002491818747170309,0.05842735901362099,7.1578293499440475,6.665869778209528,21.47649395260824,24.660521508076005,39.34405497373997,546.1845,135.24736,2.6769266,62.767708,7689.5576,7161.0522,23071.902,26492.459,42266.777
World,OWID_WRL,2000,0.5178988214937432,0.12006081961473572,0.002834952952344681,0.08415269345771961,7.090898796949457,6.634784565873432,21.740218451966772,24.863615015486406,38.94553588220539,571.59485,132.50879,3.1288824,92.87769,7826.087,7322.6826,23994.256,27441.488,42983.43
World,OWID_WRL,2001,0.5326794203113969,0.11792749913255395,0.0037489705640945327,0.10117254825314737,6.797307606947428,6.712296598800976,21.819469957546573,25.002983754505415,38.91241364393841,593.6476,131.42497,4.1780615,112.75232,7575.298,7480.557,24316.832,27864.717,43366.16
World,OWID_WRL,2002,0.5616097462820313,0.13119683301361978,0.004609403425046181,0.1343418520774869,6.735095936372077,6.634839529806595,21.991387623074402,25.452704577204113,38.35421449874463,639.16516,149.31444,5.2459383,152.89377,7665.178,7551.0767,25028.285,28967.592,43650.734
World,OWID_WRL,2003,0.5727146993202434,0.14339247633016491,0.005546158692756869,0.15578719982902903,6.4567671061129905,6.239404963907033,21.838285168616633,26.747537018710332,37.840565208480804,674.7164,168.93098,6.5339413,183.53323,7606.731,7350.6562,25727.73,31511.33,44580.05
World,OWID_WRL,2004,0.5894573738833906,0.16251659597782556,0.0069141959538345605,0.199405541496376,6.559707653779631,6.1713678619182275,21.607125935892668,27.22873852644396,37.47476631465409,729.3295,201.0801,8.554863,246.72241,8116.2583,7635.7695,26734.273,33689.836,46367.14
World,OWID_WRL,2005,0.617806055219362,0.18338885126322077,0.009367327795789838,0.234284586975761,6.5189739563592894,5.949060216589555,21.45767988827086,28.30170127081671,36.72773784670945,790.01874,234.50827,11.978459,299.59113,8336.13,7607.3535,27438.982,36190.766,46965.55
World,OWID_WRL,2006,0.6398431408687923,0.22405571717833958,0.01245659858564114,0.28889903286577234,6.540088453127354,5.820821070120923,21.417346080805572,28.955465576618675,36.10102432982894,841.3214,294.60794,16.379019,379.86957,8599.477,7653.7217,28161.389,38073.164,47468.766
World,OWID_WRL,2007,0.6738248708868051,0.28893388930675523,0.01629002179351742,0.35783634878403964,6.410452148268881,5.497855238062467,21.631598292598788,29.687966405164733,35.43524278513401,913.18494,391.5707,22.07666,484.9491,8687.611,7450.836,29315.703,40233.902,48022.76
World,OWID_WRL,2008,0.7122105979186123,0.3906613514508815,0.0259893646996059,0.45371436934403436,6.663129696403162,5.382894058766932,21.896397177497132,29.742457257092937,34.7325461268267,976.65955,535.71674,35.639404,622.1818,9137.198,7381.6016,30026.688,40786.047,47628.992
World,OWID_WRL,2009,0.7774944772528001,0.45299441401812923,0.04358534531852438,0.5728055224622479,6.717975602874823,5.3590942114943445,21.789671602664633,29.780848060558856,34.505530763355644,1049.248,611.32715,58.8195,773.0152,9066.074,7232.23,29405.7,40189.99,46566.066
World,OWID_WRL,2010,0.8312213639514037,0.4892925722552627,0.06651632247518259,0.6796992896972389,6.730318473346328,5.212229025483479,22.334489785884973,29.682625446702914,33.97360772020322,1175.8253,692.14124,94.092354,961.4859,9520.543,7373.091,31593.82,41988.312,48058.23
World,OWID_WRL,2011,0.8539189823689607,0.5036177285716771,0.1252549584152042,0.8400925115397524,6.658113255784241,4.852177904070159,22.354764221868574,30.36516133210035,33.446899105281084,1235.6885,728.7748,181.25386,1215.6805,9634.818,7021.4863,32349.117,43940.797,48400.316
World,OWID_WRL,2012,0.913694457516971,0.5162640191859889,0.18968210859363055,0.9912552299358477,6.804059859006303,4.429709755180174,22.626448846122187,30.025592825858418,33.503292898600485,1340.7991,757.5906,278.34863,1454.6155,9984.604,6500.3687,33203.137,44060.996,49164.34
